Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011
Indonesia,IDN,"Population, total",SP.POP.TOTL,225938595,228805144,231797427,234858289,237936543,240981299,244016173,247099697
IDA only,IDX,"Population, total",SP.POP.TOTL,818159682,837717855,857875888,878188505,898199432,918527916,939730969,961612140
Isle of Man,IMN,"Population, total",SP.POP.TOTL,78677,79415,80228,81100,81997,82915,83828,84350
India,IND,"Population, total",SP.POP.TOTL,1136264583,1154638713,1172373788,1189691809,1206734806,1223640160,1240613620,1257621191
Not classified,INX,"Population, total",SP.POP.TOTL,,,,,,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,69061674,70182594,71275760,72319418,73318394,74322685,75373855,76342971
Iraq,IRQ,"Population, total",SP.POP.TOTL,27858948,28698684,28905607,28660887,29218381,30289040,31264875,32378061
Iceland,ISL,"Population, total",SP.POP.TOTL,292074,296734,303782,311566,317414,318499,318041,319014
Israel,ISR,"Population, total",SP.POP.TOTL,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800
Italy,ITA,"Population, total",SP.POP.TOTL,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449
Jamaica,JAM,"Population, total",SP.POP.TOTL,2664024,2676863,2689660,2701221,2711373,2722401,2733896,2746169
Jordan,JOR,"Population, total",SP.POP.TOTL,5532423,5678534,6075548,6473457,6632873,6780493,6931258,7109980
Japan,JPN,"Population, total",SP.POP.TOTL,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202
Kenya,KEN,"Population, total",SP.POP.TOTL,34791836,35843010,36925253,38036793,39186895,40364444,41517895,42635144
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600
Cambodia,KHM,"Population, total",SP.POP.TOTL,13016371,13246583,13477779,13714791,13943888,14155740,14363532,14573885
Kiribati,KIR,"Population, total",SP.POP.TOTL,96224,98164,100083,101998,103966,105996,107995,109871
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,46580,46725,46874,47015,47156,47286,47403,47581
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638
Kuwait,KWT,"Population, total",SP.POP.TOTL,2153481,2235403,2363409,2506769,2650930,2795550,2943356,3143825
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,493917791,500076606,506094784,511989821,517759389,523473668,528978305,535014773
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5768167,5852970,5946593,6041348,6135861,6229930,6323418,6416327
Lebanon,LBN,"Population, total",SP.POP.TOTL,4574797,4643044,4719864,4809608,4887613,4951135,4995800,5045056
Liberia,LBR,"Population, total",SP.POP.TOTL,3122447,3266318,3455397,3632740,3783887,3905066,4019956,4181150
Libya,LBY,"Population, total",SP.POP.TOTL,5687563,5837986,5973369,6097177,6228370,6360191,6491988,6188132
St. Lucia,LCA,"Population, total",SP.POP.TOTL,164239,165386,166470,167518,168576,169688,170935,172145
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,549897638,556739532,563424119,569972223,576386180,582738079,588873862,595510008
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,731086901,749189504,767538041,785635469,803947600,823002155,842807198,863421305
Low income,LIC,"Population, total",SP.POP.TOTL,429354375,441886612,455313027,469010772,482640782,496609143,510897321,525506329
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,34300,34603,34889,35150,35401,35675,35926,36189
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2429871397,2471959522,2513577643,2555229019,2596637908,2638537324,2681991417,2726052485
Low & middle income,LMY,"Population, total",SP.POP.TOTL,5315125594,5389050292,5462498035,5535250735,5609097906,5684268515,5760811387,5839474111
Lesotho,LSO,"Population, total",SP.POP.TOTL,1985384,1977424,1976780,1983465,1995014,2009169,2022747,2037677
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2101411095,2114895075,2128519993,2142132712,2156046215,2169857353,2182768187,2196512073
Lithuania,LTU,"Population, total",SP.POP.TOTL,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115
Luxembourg,LUX,"Population, total",SP.POP.TOTL,458095,465158,472637,479993,488650,497783,506953,518347
Latvia,LVA,"Population, total",SP.POP.TOTL,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,475529,488619,501863,515330,529038,543021,557297,571003
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,32697,33452,34183,34887,35541,36132,36458,36350
Morocco,MAR,"Population, total",SP.POP.TOTL,30033125,30431902,30833022,31232633,31634992,32042877,32464865,32903699
Monaco,MCO,"Population, total",SP.POP.TOTL,32236,32141,32011,31823,31862,32401,33178,33945
Moldova,MDA,"Population, total",SP.POP.TOTL,2896023,2888985,2880967,2874299,2868833,2865213,2862354,2860699
Madagascar,MDG,"Population, total",SP.POP.TOTL,18250774,18792171,19350299,19924958,20513599,21117092,21731053,22348158
Maldives,MDV,"Population, total",SP.POP.TOTL,302135,307018,314401,325126,336883,349037,361575,374440
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,347044925,354462370,362633997,371324802,380294099,389332369,397997557,406045323
Mexico,MEX,"Population, total",SP.POP.TOTL,103945813,105442402,106886790,108302973,109684489,111049428,112532401,114150481
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,54435,54337,54208,54038,53816,53593,53416,52971
Middle income,MIC,"Population, total",SP.POP.TOTL,4885771219,4947163680,5007185008,5066239963,5126457124,5187659372,5249914066,5313967782
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2032544,2036855,2040228,2043559,2046898,2050671,2055004,2058539
Mali,MLI,"Population, total",SP.POP.TOTL,12751995,13180551,13623541,14080912,14551117,15032635,15529181,16039734
Malta,MLT,"Population, total",SP.POP.TOTL,401268,403834,405308,406724,409379,412477,414508,416268
Myanmar,MMR,"Population, total",SP.POP.TOTL,47338446,47724471,48088274,48445647,48729486,49015836,49390988,49794522
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,305945780,311948573,317983066,324080392,330293304,336675037,343313330,349770162
Montenegro,MNE,"Population, total",SP.POP.TOTL,613353,614261,615025,615875,616969,618294,619428,620079
Mongolia,MNG,"Population, total",SP.POP.TOTL,2537949,2559255,2581242,2605643,2633887,2666713,2702520,2743938
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,71898,69025,66060,63050,60032,57056,54087,52520
Mozambique,MOZ,"Population, total",SP.POP.TOTL,19694411,20211114,20735982,21280513,21845571,22436660,23073723,23760421
Mauritania,MRT,"Population, total",SP.POP.TOTL,2946575,3012360,3081229,3153508,3233336,3322616,3419461,3524249
Mauritius,MUS,"Population, total",SP.POP.TOTL,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404
Malawi,MWI,"Population, total",SP.POP.TOTL,12411342,12755648,13118307,13495463,13889423,14298932,14718422,15146094
Malaysia,MYS,"Population, total",SP.POP.TOTL,25333247,25923536,26509413,27092604,27664296,28217204,28717731,29184133
North America,NAC,"Population, total",SP.POP.TOTL,324809693,327824506,331015609,334185120,337406357,340466060,343397156,345987373
Namibia,NAM,"Population, total",SP.POP.TOTL,1939406,1962865,1986558,2011492,2038552,2067919,2099271,2132340
New Caledonia,NCL,"Population, total",SP.POP.TOTL,228750,232250,235750,239250,242750,245950,249750,254350
Niger,NER,"Population, total",SP.POP.TOTL,13366885,13855221,14365168,14897873,15455175,16037915,16647543,17283112
Nigeria,NGA,"Population, total",SP.POP.TOTL,136756848,140490722,144329764,148294028,152382506,156595758,160952853,165463745
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5386223,5454678,5529811,5607453,5687744,5770639,5855734,5942553
Netherlands,NLD,"Population, total",SP.POP.TOTL,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074
Norway,NOR,"Population, total",SP.POP.TOTL,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088
Nepal,NPL,"Population, total",SP.POP.TOTL,26003965,26285110,26518971,26713655,26881544,27026941,27161567,27266399
Nauru,NRU,"Population, total",SP.POP.TOTL,10335,10318,10294,10267,10243,10233,10241,10283
New Zealand,NZL,"Population, total",SP.POP.TOTL,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000
OECD members,OED,"Population, total",SP.POP.TOTL,1236496893,1245447053,1254649810,1263898853,1273582053,1282495531,1290948297,1297593939
Oman,OMN,"Population, total",SP.POP.TOTL,2468855,2515192,2560649,2605700,2651028,2697537,2881914,3206870
Other small states,OSS,"Population, total",SP.POP.TOTL,22986615,23450481,24035320,24697686,25375277,26013714,26565994,27072916
Pakistan,PAK,"Population, total",SP.POP.TOTL,170648620,174372098,178069984,181924521,185931955,190123222,194454498,198602738
Panama,PAN,"Population, total",SP.POP.TOTL,3243311,3305868,3368573,3431614,3495276,3559343,3623617,3688674
Peru,PER,"Population, total",SP.POP.TOTL,27893911,28147267,28381078,28600387,28806185,29009326,29229572,29477721
Philippines,PHL,"Population, total",SP.POP.TOTL,84607501,86261250,87901835,89561377,91252326,92946951,94636700,96337913
Palau,PLW,"Population, total",SP.POP.TOTL,19907,19831,19619,19366,19102,18826,18540,18240
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,6293166,6498818,6708217,6921066,7137988,7358890,7583269,7806637
Poland,POL,"Population, total",SP.POP.TOTL,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,621974508,640493810,659115651,677333522,697003893,718121906,739525992,761717101
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3826878,3821362,3805214,3782995,3760866,3740410,3721525,3678732
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,23948930,24100982,24235761,24356506,24469047,24581509,24686435,24783789
Portugal,PRT,"Population, total",SP.POP.TOTL,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560
Paraguay,PRY,"Population, total",SP.POP.TOTL,5416324,5476878,5534675,5590145,5645148,5702574,5768613,5843939
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2146140,2172802,2199540,2226078,2251506,2276149,2301401,2327284
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1041241254,1046468599,1052106032,1058252873,1064631968,1070085408,1075046427,1077987051
French Polynesia,PYF,"Population, total",SP.POP.TOTL,267132,271060,274901,278178,280558,282283,283788,285265
Qatar,QAT,"Population, total",SP.POP.TOTL,777943,848710,1015060,1231893,1444277,1610274,1713504,1804171
Romania,ROU,"Population, total",SP.POP.TOTL,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144067316,143518814,143049637,142805114,142742366,142785349,142849468,142960908
Rwanda,RWA,"Population, total",SP.POP.TOTL,8791853,9026299,9270066,9523168,9781996,10043737,10309031,10576932
South Asia,SAS,"Population, total",SP.POP.TOTL,1515703001,1541263909,1565892885,1589454615,1612709085,1636411632,1660546144,1684898004
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,23661808,24397644,25382870,26400068,27437353,28483797,29411929,30150945
Sudan,SDN,"Population, total",SP.POP.TOTL,28831550,29540577,30332968,31191163,32065241,32948155,33739933,34419624
Senegal,SEN,"Population, total",SP.POP.TOTL,10698691,10974057,11263387,11563869,11872929,12195029,12530121,12875880
Singapore,SGP,"Population, total",SP.POP.TOTL,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,471785,482486,493430,504619,516001,527833,540394,553721
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,5533329,5683334,5809774,5939163,6090860,6259842,6436698,6612385
El Salvador,SLV,"Population, total",SP.POP.TOTL,6035655,6037817,6034436,6044131,6068099,6091188,6114034,6137349
San Marino,SMR,"Population, total",SP.POP.TOTL,29093,29508,29959,30372,30700,31059,31608,32495
Somalia,SOM,"Population, total",SP.POP.TOTL,10117354,10467292,10784973,11118092,11444870,11730037,12026649,12216837
Serbia,SRB,"Population, total",SP.POP.TOTL,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,746464327,766895808,788025400,809934231,832555779,855798400,879707649,904194713
South Sudan,SSD,"Population, total",SP.POP.TOTL,7317118,7662654,8029517,8417823,8823888,9229227,9714419,10243050
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,746546802,766978666,788110000,810019264,832642735,855885698,879797419,904282154
Small states,SST,"Population, total",SP.POP.TOTL,31893127,32425757,33079043,33808469,34550707,35254103,35871823,36444557
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,157697,161680,165725,169845,174004,178128,182138,186044
Suriname,SUR,"Population, total",SP.POP.TOTL,510572,516220,522023,527946,533938,539987,546080,552146
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384
Slovenia,SVN,"Population, total",SP.POP.TOTL,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843
Sweden,SWE,"Population, total",SP.POP.TOTL,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1065764,1071886,1077735,1084008,1089870,1094886,1099920,1105371
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,32488,33011,33441,33811,33964,34238,34056,33435
Seychelles,SYC,"Population, total",SP.POP.TOTL,82475,82858,84600,85033,86956,87298,89770,87441
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,18084007,18583557,19432009,20703005,21474059,21827220,22337563,22730733
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,22869,23995,25128,26268,27422,28581,29726,30816
Chad,TCD,"Population, total",SP.POP.TOTL,9613503,10005012,10365614,10722731,11098664,11496128,11894727,12317730
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,1857622964,1872697597,1887496209,1901960228,1916309337,1930470829,1944510719,1959494275
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,435471706,435872410,436426410,436798968,437985547,439691944,441664138,443820083
Togo,TGO,"Population, total",SP.POP.TOTL,5565218,5711597,5874240,6047537,6222482,6398624,6571855,6748672
Thailand,THA,"Population, total",SP.POP.TOTL,65311166,65821360,66319525,66826754,67328239,67813654,68270489,68712846
Tajikistan,TJK,"Population, total",SP.POP.TOTL,6801204,6929145,7057417,7188391,7324627,7468596,7621779,7784819
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,4819792,4885775,4954029,5024894,5100083,5180957,5267970,5360811
